diseases,description
open wound of the arm,Open wound of the arm is sutured and dressed.
muscular dystrophy,Muscular dystrophy is managed with steroids and supportive therapy.
mittelschmerz,Mittelschmerz (ovulation pain) is relieved by NSAIDs.
corneal abrasion,Corneal abrasion heals with antibiotic ointment.
anemia of chronic disease,Anemia of chronic disease is treated with erythropoietin.
dysthymic disorder,Dysthymic disorder is managed with antidepressants.
scarlet fever,Scarlet fever is treated with penicillin.
hypertensive heart disease,Hypertensive heart disease requires blood pressure control.
drug abuse (barbiturates),Drug abuse (barbiturates) needs taper and supportive care.
polycystic ovarian syndrome (pcos),Polycystic ovarian syndrome (PCOS) is managed with OCPs and metformin.
encephalitis,Encephalitis is treated with antivirals or supportive care.
cyst of the eyelid,Cyst of the eyelid is incised if needed.
balanitis,Balanitis is treated with antifungals or steroids.
foreign body in the throat,Foreign body in the throat requires endoscopic removal.
drug abuse (cocaine),Drug abuse (cocaine) is managed supportively.
optic neuritis,Optic neuritis is treated with steroids.
alcohol withdrawal,Alcohol withdrawal is managed with benzodiazepines.
premature atrial contractions (pacs),Premature atrial contractions (PACs) are usually benign.
hemiplegia,Hemiplegia requires stroke rehabilitation.
hammer toe,Hammer toe is corrected with surgery if severe.
open wound of the cheek,Open wound of the cheek is sutured carefully.
joint effusion,Joint effusion is aspirated if large.
open wound of the knee,Open wound of the knee needs thorough cleaning.
meningioma,Meningioma is often observed or surgically removed.
brain cancer,Brain cancer is treated with surgery; radiation; and chemo.
placental abruption,Placental abruption requires urgent delivery.
seasonal allergies (hay fever),Seasonal allergies (hay fever) are treated with antihistamines.
lung cancer,Lung cancer is managed with targeted therapy or surgery.
primary kidney disease,Primary kidney disease is treated according to biopsy findings.
uterine cancer,Uterine cancer is treated with hysterectomy.
dry eye of unknown cause,Dry eye of unknown cause is treated with artificial tears.
fibrocystic breast disease,Fibrocystic breast disease is managed with NSAIDs.
fungal infection of the hair,Fungal infection of the hair (tinea capitis) is treated with oral antifungals.
tooth abscess,Tooth abscess requires drainage and antibiotics.
envenomation from spider or animal bite,Envenomation from spider or animal bite needs antivenom and supportive care.
vacterl syndrome,VACTERL syndrome requires surgical correction of defects.
vertebrobasilar insufficiency,Vertebrobasilar insufficiency is managed with antiplatelets.
rectal disorder,Rectal disorder is evaluated by proctoscopy.
atonic bladder,Atonic bladder is treated with bethanechol or catheterization.
benign paroxysmal positional vertical (bppv),Benign paroxysmal positional vertigo (BPPV) is treated with Epley maneuver.
blepharospasm,Blepharospasm is managed with Botox.
sarcoidosis,Sarcoidosis is treated with steroids if symptomatic.
metastatic cancer,Metastatic cancer is managed with palliative chemotherapy.
trigger finger (finger disorder),Trigger finger (finger disorder) is treated with steroid injection.
stye,Stye is treated with warm compresses.
hemochromatosis,Hemochromatosis is managed with phlebotomy.
osteochondroma,Osteochondroma is observed or excised if symptomatic.
cushing syndrome,Cushing syndrome is treated by removing the cause.
typhoid fever,Typhoid fever is treated with antibiotics.
vitreous degeneration,Vitreous degeneration is observed.
atrophic skin condition,Atrophic skin condition is managed with moisturizers.
aspergillosis,Aspergillosis is treated with voriconazole.
uterine atony,Uterine atony is treated with oxytocin.
trichinosis,Trichinosis is treated with albendazole.
whooping cough,Whooping cough is treated with macrolides.
open wound of the lip,Open wound of the lip is sutured.
subacute thyroiditis,Subacute thyroiditis is self-limited and treated with NSAIDs.
oral mucosal lesion,Oral mucosal lesion requires biopsy if persistent.
open wound due to trauma,Open wound due to trauma is cleaned and closed.
intracerebral hemorrhage,Intracerebral hemorrhage is managed with blood pressure control.
alzheimer disease,Alzheimer disease is treated with donepezil.
vaginismus,Vaginismus is managed with pelvic floor therapy.
systemic lupus erythematosis (sle),Systemic lupus erythematosus (SLE) is treated with hydroxychloroquine.
premature ovarian failure,Premature ovarian failure requires hormone replacement.
thoracic outlet syndrome,Thoracic outlet syndrome is managed with PT or surgery.
ganglion cyst,Ganglion cyst is aspirated or excised.
dislocation of the knee,Dislocation of the knee requires reduction.
crohn disease,Crohn disease is treated with biologics and steroids.
postoperative infection,Postoperative infection is treated with antibiotics.
folate deficiency,Folate deficiency is corrected with folic acid.
fluid overload,Fluid overload is treated with diuretics.
atrial flutter,Atrial flutter is managed like atrial fibrillation.
skin disorder,Skin disorder is treated according to diagnosis.
floaters,Floaters are observed unless sudden increase.
tooth disorder,Tooth disorder requires dental evaluation.
heart attack,Heart attack is treated with reperfusion therapy.
open wound of the abdomen,Open wound of the abdomen may need surgical exploration.
fracture of the leg,Fracture of the leg is casted or fixed.
oral thrush (yeast infection),Oral thrush (yeast infection) is treated with nystatin.
pityriasis rosea,Pityriasis rosea is self-limited.
allergy to animals,Allergy to animals is managed with avoidance and antihistamines.
orthostatic hypotension,Orthostatic hypotension is treated with midodrine.
obstructive sleep apnea (osa),Obstructive sleep apnea (OSA) is treated with CPAP.
hypokalemia,Hypokalemia is corrected with potassium supplements.
psoriasis,Psoriasis is managed with topical steroids or biologics.
dislocation of the shoulder,Dislocation of the shoulder is reduced.
intussusception,Intussusception is reduced by air enema or surgery.
cervicitis,Cervicitis is treated with antibiotics if STI.
abscess of the pharynx,Abscess of the pharynx requires drainage.
primary thrombocythemia,Primary thrombocythemia is managed with hydroxyurea.
arthritis of the hip,Arthritis of the hip is treated with NSAIDs or replacement.
decubitus ulcer,Decubitus ulcer requires wound care and pressure relief.
hypernatremia,Hypernatremia is corrected slowly with fluids.
sensorineural hearing loss,Sensorineural hearing loss is managed with hearing aids.
chronic ulcer,Chronic ulcer is treated with compression and wound care.
osteoporosis,Osteoporosis is prevented with bisphosphonates and calcium.
ileus,Ileus is managed supportively.
sickle cell crisis,Sickle cell crisis is treated with hydration and pain control.
urethritis,Urethritis is treated with antibiotics.
prostatitis,Prostatitis is managed with fluoroquinolones.
otitis externa (swimmer's ear),Otitis externa (swimmer's ear) is treated with antibiotic drops.
poisoning due to anticonvulsants,Poisoning due to anticonvulsants requires supportive care.
testicular torsion,Testicular torsion requires immediate surgery.
tricuspid valve disease,Tricuspid valve disease may need valve repair.
urethral stricture,Urethral stricture is dilated or surgically repaired.
vitamin d deficiency,Vitamin D deficiency is corrected with supplements.
hydatidiform mole,Hydatidiform mole is evacuated surgically.
pain disorder affecting the neck,Pain disorder affecting the neck is managed with PT.
tuberculosis,Tuberculosis is treated with RIPE therapy.
pelvic fistula,Pelvic fistula requires surgical repair.
acute bronchiolitis,Acute bronchiolitis is supportive in infants.
presbyopia,Presbyopia is corrected with reading glasses.
dementia,Dementia is managed with cholinesterase inhibitors.
insect bite,Insect bite is treated with antihistamines.
paroxysmal ventricular tachycardia,Paroxysmal ventricular tachycardia is treated with antiarrhythmics.
congenital heart defect,Congenital heart defect may require surgical correction.
connective tissue disorder,Connective tissue disorder is managed with immunosuppressants.
foreign body in the eye,Foreign body in the eye is removed.
poisoning due to gas,Poisoning due to gas is treated with oxygen.
pyogenic skin infection,Pyogenic skin infection is treated with antibiotics.
endometrial hyperplasia,Endometrial hyperplasia is treated with progestins.
acanthosis nigricans,Acanthosis nigricans is managed by treating insulin resistance.
central atherosclerosis,Central atherosclerosis is treated with statins.
viral exanthem,Viral exanthem is self-limited.
noninfectious gastroenteritis,Noninfectious gastroenteritis is managed with hydration.
benign prostatic hyperplasia (bph),Benign prostatic hyperplasia (BPH) is treated with tamsulosin.
menopause,Menopause symptoms are relieved with HRT.
primary immunodeficiency,Primary immunodeficiency is managed with IVIG.
ovarian cancer,Ovarian cancer is treated with debulking surgery and chemo.
cataract,Cataract is removed surgically.
dislocation of the hip,Dislocation of the hip requires reduction.
spinal stenosis,Spinal stenosis is managed with epidural injections or surgery.
intestinal obstruction,Intestinal obstruction may need surgery.
heart contusion,Heart contusion is monitored for arrhythmias.
congenital malformation syndrome,Congenital malformation syndrome requires multidisciplinary care.
sporotrichosis,Sporotrichosis is treated with itraconazole.
lymphangitis,Lymphangitis is treated with antibiotics.
wernicke korsakoff syndrome,Wernicke Korsakoff syndrome is treated with thiamine.
intestinal disease,Intestinal disease is managed according to cause.
acute bronchitis,Acute bronchitis is usually viral and supportive.
persistent vomiting of unknown cause,Persistent vomiting of unknown cause is treated with antiemetics.
open wound of the foot,Open wound of the foot is dressed and offloaded.
myocarditis,Myocarditis is managed supportively.
preeclampsia,Preeclampsia is treated with magnesium and delivery.
ischemic heart disease,Ischemic heart disease is managed with antianginals and revascularization.
neurofibromatosis,Neurofibromatosis requires tumor monitoring.
chickenpox,Chickenpox is treated supportively; acyclovir for severe cases.
pancreatic cancer,Pancreatic cancer has poor prognosis; gemcitabine-based chemo.
neuropathy due to drugs,Neuropathy due to drugs is managed with gabapentin.
croup,Croup is treated with dexamethasone and nebulized epinephrine.
idiopathic excessive menstruation,Idiopathic excessive menstruation is controlled with tranexamic acid.
amblyopia,Amblyopia is treated with patching.
meckel diverticulum,Meckel diverticulum is excised if bleeding.
dislocation of the wrist,Dislocation of the wrist is reduced.
ear drum damage,Ear drum damage heals or is repaired surgically.
erectile dysfunction,Erectile dysfunction is treated with PDE5 inhibitors.
temporary or benign blood in urine,Temporary or benign blood in urine is investigated.
kidney disease due to longstanding hypertension,Kidney disease due to longstanding hypertension is slowed by BP control.
chondromalacia of the patella,Chondromalacia of the patella is managed with PT.
onychomycosis,Onychomycosis is treated with oral terbinafine.
urethral disorder,Urethral disorder is evaluated by urology.
lyme disease,Lyme disease is treated with doxycycline.
iron deficiency anemia,Iron deficiency anemia is corrected with ferrous sulfate.
acute respiratory distress syndrome (ards),Acute respiratory distress syndrome (ARDS) requires mechanical ventilation.
toxic multinodular goiter,Toxic multinodular goiter is treated with antithyroid drugs or radioiodine.
open wound of the finger,Open wound of the finger is sutured.
autonomic nervous system disorder,Autonomic nervous system disorder is managed symptomatically.
psychosexual disorder,Psychosexual disorder benefits from counseling.
anemia,Anemia is investigated and treated by cause.
tendinitis,Tendinitis is managed with rest and NSAIDs.
common cold,Common cold is supportive.
amyotrophic lateral sclerosis (als),Amyotrophic lateral sclerosis (ALS) is treated with riluzole.
central retinal artery or vein occlusion,Central retinal artery or vein occlusion is an emergency.
paroxysmal supraventricular tachycardia,Paroxysmal supraventricular tachycardia is terminated with adenosine.
venous insufficiency,Venous insufficiency is managed with compression.
trichomonas infection,Trichomonas infection is treated with metronidazole.
acne,Acne is treated with topical retinoids and antibiotics.
depression,Depression is managed with SSRIs and therapy.
drug abuse,Drug abuse requires rehabilitation.
urinary tract obstruction,Urinary tract obstruction is relieved by stent.
diabetes insipidus,Diabetes insipidus is treated with desmopressin.
iridocyclitis,Iridocyclitis is treated with steroid drops.
varicocele of the testicles,Varicocele of the testicles is repaired if symptomatic.
irritable bowel syndrome,Irritable bowel syndrome is managed with antispasmodics.
fracture of the foot,Fracture of the foot is casted.
ovarian cyst,Ovarian cyst is observed or removed.
chlamydia,Chlamydia is treated with azithromycin.
parasitic disease,Parasitic disease is treated with specific antiparasitics.
fracture of the jaw,Fracture of the jaw is wired or plated.
lipoma,Lipoma is excised if bothersome.
female genitalia infection,Female genitalia infection is treated with antifungals or antibiotics.
pulmonary hypertension,Pulmonary hypertension is managed with vasodilators.
thyroid nodule,Thyroid nodule is biopsied if suspicious.
broken tooth,Broken tooth requires dental repair.
dumping syndrome,Dumping syndrome is managed with small frequent meals.
lymphadenitis,Lymphadenitis is treated with antibiotics.
injury to the face,Injury to the face is repaired for cosmesis.
aortic valve disease,Aortic valve disease may need replacement.
rheumatoid arthritis,Rheumatoid arthritis is treated with methotrexate and biologics.
spermatocele,Spermatocele is observed or excised.
impetigo,Impetigo is treated with mupirocin.
anal fistula,Anal fistula requires surgical fistulotomy.
hypothermia,Hypothermia is rewarmed carefully.
oppositional disorder,Oppositional disorder is managed with behavioral therapy.
migraine,Migraine is treated with triptans and preventives.
diabetic peripheral neuropathy,Diabetic peripheral neuropathy is managed with duloxetine.
testicular disorder,Testicular disorder is evaluated by ultrasound.
gestational diabetes,Gestational diabetes is managed with insulin.
hidradenitis suppurativa,Hidradenitis suppurativa is treated with antibiotics or biologics.
valley fever,Valley fever is treated with fluconazole.
conjunctivitis due to bacteria,Conjunctivitis due to bacteria is treated with antibiotic drops.
lewy body dementia,Lewy body dementia is managed with rivastigmine.
multiple myeloma,Multiple myeloma is treated with bortezomib-based regimens.
head injury,Head injury is monitored for intracranial bleed.
ascending cholangitis,Ascending cholangitis requires ERCP and antibiotics.
idiopathic irregular menstrual cycle,Idiopathic irregular menstrual cycle is regulated with OCPs.
interstitial lung disease,Interstitial lung disease is treated with antifibrotics.
mononeuritis,Mononeuritis is managed with steroids.
malaria,Malaria is treated with artemisinin combinations.
somatization disorder,Somatization disorder benefits from CBT.
hypovolemia,Hypovolemia is corrected with IV fluids.
schizophrenia,Schizophrenia is managed with antipsychotics.
knee ligament or meniscus tear,Knee ligament or meniscus tear is repaired arthroscopically.
endocarditis,Endocarditis requires prolonged IV antibiotics.
sepsis,Sepsis is treated with broad-spectrum antibiotics and fluids.
heat stroke,Heat stroke is cooled aggressively.
cholecystitis,Cholecystitis requires antibiotics and cholecystectomy.
cardiac arrest,Cardiac arrest follows ACLS protocol with epinephrine.
cardiomyopathy,Cardiomyopathy is managed with ACE inhibitors and beta-blockers.
social phobia,Social phobia is treated with SSRIs.
meningitis,Meningitis requires empiric antibiotics and steroids.
spherocytosis,Spherocytosis is managed with folate and splenectomy if severe.
hormone disorder,Hormone disorder is replaced or suppressed as needed.
raynaud disease,Raynaud disease is managed with calcium channel blockers.
reactive arthritis,Reactive arthritis is treated with NSAIDs.
scabies,Scabies is treated with permethrin.
ear wax impaction,Ear wax impaction is removed by irrigation.
hypertension of pregnancy,Hypertension of pregnancy is treated with labetalol.
peripheral arterial embolism,Peripheral arterial embolism requires embolectomy.
rosacea,Rosacea is treated with metronidazole gel.
fracture of the skull,Fracture of the skull is observed or operated.
uveitis,Uveitis is treated with steroid drops.
fracture of the facial bones,Fracture of the facial bones is repaired for function.
tracheitis,Tracheitis is treated with antibiotics.
jaw disorder,Jaw disorder is managed with splints.
perirectal infection,Perirectal infection requires drainage.
breast cyst,Breast cyst is aspirated if symptomatic.
post-traumatic stress disorder (ptsd),Post-traumatic stress disorder (PTSD) is treated with sertraline and therapy.
kidney cancer,Kidney cancer is managed with nephrectomy or targeted therapy.
vulvar cancer,Vulvar cancer is treated with surgery.
blepharitis,Blepharitis is managed with lid hygiene.
celiac disease,Celiac disease requires gluten-free diet.
cystitis,Cystitis is treated with nitrofurantoin.
sickle cell anemia,Sickle cell anemia is managed with hydroxyurea.
subconjunctival hemorrhage,Subconjunctival hemorrhage resolves spontaneously.
hemorrhoids,Hemorrhoids are treated with fiber and topical agents.
contact dermatitis,Contact dermatitis is managed by avoiding allergen and steroids.
sinus bradycardia,Sinus bradycardia is observed unless symptomatic.
high blood pressure,High blood pressure is controlled with lifestyle and medications.
pelvic inflammatory disease,Pelvic inflammatory disease is treated with ceftriaxone and doxycycline.
liver disease,Liver disease is managed by treating cause.
chronic constipation,Chronic constipation is treated with laxatives.
thyroid cancer,Thyroid cancer is managed with surgery and radioiodine.
flu,Flu is treated with oseltamivir if early.
friedrich ataxia,Friedrich ataxia is supportive.
tic (movement) disorder,Tic (movement) disorder is treated with clonidine.
skin polyp,Skin polyp is removed.
brachial neuritis,Brachial neuritis is managed with steroids.
cervical cancer,Cervical cancer is prevented by HPV vaccine and treated with radiation.
adrenal adenoma,Adrenal adenoma is removed if functioning.
esophagitis,Esophagitis is treated with PPIs.
gas gangrene,Gas gangrene requires urgent debridement and penicillin.
yeast infection,Yeast infection is treated with fluconazole.
spina bifida,Spina bifida is managed with surgery and supportive care.
drug poisoning due to medication,Drug poisoning due to medication requires specific antidotes.
alcoholic liver disease,Alcoholic liver disease requires abstinence and nutrition.
malignant hypertension,Malignant hypertension is treated with IV antihypertensives.
diverticulitis,Diverticulitis is managed with antibiotics.
moyamoya disease,Moyamoya disease requires surgical revascularization.
heat exhaustion,Heat exhaustion is treated with rehydration.
psychotic disorder,Psychotic disorder is managed with antipsychotics.
frostbite,Frostbite is rewarmed and protected.
atrophy of the corpus cavernosum,Atrophy of the corpus cavernosum contributes to ED.
smoking or tobacco addiction,Smoking or tobacco addiction is treated with varenicline.
sprain or strain,Sprain or strain is managed with RICE.
essential tremor,Essential tremor is treated with propranolol.
open wound of the ear,Open wound of the ear is dressed.
foreign body in the nose,Foreign body in the nose is removed.
idiopathic painful menstruation,Idiopathic painful menstruation is managed with NSAIDs.
down syndrome,Down syndrome requires supportive multidisciplinary care.
idiopathic infrequent menstruation,Idiopathic infrequent menstruation is regulated with hormones.
pneumothorax,Pneumothorax is treated with chest tube.
de quervain disease,De Quervain disease is treated with steroid injection.
fracture of the vertebra,Fracture of the vertebra is stabilized.
human immunodeficiency virus infection (hiv),Human immunodeficiency virus infection (HIV) is treated with ART.
mumps,Mumps is supportive.
subarachnoid hemorrhage,Subarachnoid hemorrhage is treated with nimodipine.
acute fatty liver of pregnancy (aflp),Acute fatty liver of pregnancy (AFLP) requires delivery.
ectropion,Ectropion is corrected surgically.
scar,Scar is managed with silicone sheets.
lactose intolerance,Lactose intolerance is managed with lactase enzyme.
eustachian tube dysfunction (ear disorder),Eustachian tube dysfunction (ear disorder) is treated with nasal steroids.
appendicitis,Appendicitis requires appendectomy.
graves disease,Graves disease is treated with methimazole or radioiodine.
dissociative disorder,Dissociative disorder is managed with psychotherapy.
open wound of the face,Open wound of the face is repaired cosmetically.
dislocation of the vertebra,Dislocation of the vertebra is reduced surgically.
phimosis,Phimosis is treated with steroid cream or circumcision.
hyperemesis gravidarum,Hyperemesis gravidarum is managed with ondansetron.
pregnancy,Pregnancy is supported with prenatal vitamins.
thalassemia,Thalassemia requires transfusions and chelation.
placenta previa,Placenta previa requires cesarean delivery.
epidural hemorrhage,Epidural hemorrhage requires urgent evacuation.
septic arthritis,Septic arthritis requires joint drainage and antibiotics.
athlete's foot,Athlete's foot is treated with terbinafine cream.
pleural effusion,Pleural effusion is drained if large.
aphakia,Aphakia is corrected with lens implant.
vulvar disorder,Vulvar disorder is biopsied if suspicious.
sialoadenitis,Sialoadenitis is treated with antibiotics and hydration.
gynecomastia,Gynecomastia is observed or surgically corrected.
urinary tract infection,Urinary tract infection is treated with nitrofurantoin.
histoplasmosis,Histoplasmosis is treated with itraconazole.
erythema multiforme,Erythema multiforme is supportive.
scoliosis,Scoliosis is monitored or braced.
bunion,Bunion is corrected surgically.
arrhythmia,Arrhythmia is treated with antiarrhythmics or ablation.
trigeminal neuralgia,Trigeminal neuralgia is managed with carbamazepine.
ankylosing spondylitis,Ankylosing spondylitis is treated with biologics.
peripheral nerve disorder,Peripheral nerve disorder is managed with gabapentin.
sebaceous cyst,Sebaceous cyst is excised.
poisoning due to antipsychotics,Poisoning due to antipsychotics requires supportive care.
neurosis,Neurosis is managed with therapy.
prostate cancer,Prostate cancer is treated with androgen deprivation.
cerebral edema,Cerebral edema is reduced with mannitol.
dislocation of the finger,Dislocation of the finger is reduced.
birth trauma,Birth trauma is managed supportively.
chronic pancreatitis,Chronic pancreatitis requires enzyme replacement.
hematoma,Hematoma is observed or drained.
carcinoid syndrome,Carcinoid syndrome is treated with octreotide.
open wound of the head,Open wound of the head is closed.
seborrheic keratosis,Seborrheic keratosis is removed if irritated.
burn,Burn is managed with silver sulfadiazine.
spontaneous abortion,Spontaneous abortion may require D&C.
genital herpes,Genital herpes is treated with acyclovir.
adjustment reaction,Adjustment reaction is supported with short-term therapy.
gallstone,Gallstone is removed by cholecystectomy.
multiple sclerosis,Multiple sclerosis is treated with disease-modifying therapies.
zenker diverticulum,Zenker diverticulum is treated surgically.
fracture of the pelvis,Fracture of the pelvis is stabilized.
pneumoconiosis,Pneumoconiosis is managed supportively.
hyperlipidemia,Hyperlipidemia is treated with statins.
ulcerative colitis,Ulcerative colitis is managed with mesalamine or biologics.
male genitalia infection,Male genitalia infection is treated with antibiotics.
hpv,HPV causes warts; vaccine prevents.
angina,Angina is managed with nitroglycerin.
injury to the spinal cord,Injury to the spinal cord is treated with steroids acutely.
nasal polyp,Nasal polyp is treated with steroids or surgery.
lichen simplex,Lichen simplex is managed with topical steroids.
trichiasis,Trichiasis is corrected surgically.
acariasis,Acariasis (scabies) is treated with permethrin.
colorectal cancer,Colorectal cancer is treated with surgery and chemo.
skin pigmentation disorder,Skin pigmentation disorder is managed with hydroquinone.
factitious disorder,Factitious disorder is managed with psychiatric care.
lymphogranuloma venereum,Lymphogranuloma venereum is treated with doxycycline.
galactorrhea of unknown cause,Galactorrhea of unknown cause is treated with cabergoline.
g6pd enzyme deficiency,G6PD enzyme deficiency requires avoiding triggers.
nerve impingement near the shoulder,Nerve impingement near the shoulder is managed with PT.
toxoplasmosis,Toxoplasmosis is treated with pyrimethamine.
fibroadenoma,Fibroadenoma is observed or excised.
open wound of the hand,Open wound of the hand is repaired.
missed abortion,Missed abortion is managed with misoprostol.
diabetic ketoacidosis,Diabetic ketoacidosis is treated with insulin and fluids.
granuloma inguinale,Granuloma inguinale is treated with doxycycline.
obsessive compulsive disorder (ocd),Obsessive compulsive disorder (OCD) is treated with SSRIs and CBT.
injury of the ankle,Injury of the ankle is managed with RICE.
hyponatremia,Hyponatremia is corrected carefully.
stricture of the esophagus,Stricture of the esophagus is dilated.
fracture of the ankle,Fracture of the ankle is fixed.
soft tissue sarcoma,Soft tissue sarcoma is treated with surgery and chemo.
bone disorder,Bone disorder is managed with calcium and bisphosphonates.
epilepsy,Epilepsy is controlled with anticonvulsants.
personality disorder,Personality disorder is managed with therapy.
shingles (herpes zoster),Shingles (herpes zoster) is treated with valacyclovir.
tourette syndrome,Tourette syndrome is managed with haloperidol.
avascular necrosis,Avascular necrosis is treated with core decompression.
strep throat,Strep throat is treated with penicillin.
spinocerebellar ataxia,Spinocerebellar ataxia is supportive.
osteomyelitis,Osteomyelitis requires prolonged antibiotics and debridement.
sjogren syndrome,Sjogren syndrome is managed with pilocarpine.
adhesive capsulitis of the shoulder,Adhesive capsulitis of the shoulder is treated with PT and injection.
viral hepatitis,Viral hepatitis is treated with antivirals.
tonsillar hypertrophy,Tonsillar hypertrophy is treated with tonsillectomy if obstructive.
gastritis,Gastritis is treated with PPIs.
skin cancer,Skin cancer is excised.
rheumatic fever,Rheumatic fever is prevented with penicillin.
aphthous ulcer,Aphthous ulcer is treated with topical steroids.
tonsillitis,Tonsillitis is managed with antibiotics if bacterial.
intestinal cancer,Intestinal cancer is treated with surgery and chemo.
rocky mountain spotted fever,Rocky Mountain spotted fever is treated with doxycycline.
stomach cancer,Stomach cancer is treated with surgery and chemo.
developmental disability,Developmental disability is supported with therapy.
acute stress reaction,Acute stress reaction is managed with short-term benzodiazepines.
delirium,Delirium is treated by addressing the cause.
callus,Callus is managed with salicylic acid.
guillain barre syndrome,Guillain Barre syndrome is treated with IVIG.
lumbago,Lumbago is managed with NSAIDs.
deviated nasal septum,Deviated nasal septum is corrected surgically if symptomatic.
hemangioma,Hemangioma is treated with propranolol.
peripheral arterial disease,Peripheral arterial disease is managed with cilostazol.
chronic back pain,Chronic back pain is treated with PT and medications.
heart failure,Heart failure is managed with ACE inhibitors and diuretics.
conjunctivitis,Conjunctivitis is treated supportively or with drops.
herniated disk,Herniated disk is managed conservatively or surgically.
rhabdomyolysis,Rhabdomyolysis requires aggressive hydration.
breast infection (mastitis),Breast infection (mastitis) is treated with antibiotics.
abdominal aortic aneurysm,Abdominal aortic aneurysm is repaired when large.
pulmonary embolism,Pulmonary embolism is treated with anticoagulants.
conduct disorder,Conduct disorder is managed with behavioral intervention.
mastectomy,Mastectomy is followed by reconstruction if desired.
epididymitis,Epididymitis is treated with antibiotics.
premature rupture of amniotic membrane,Premature rupture of amniotic membrane requires antibiotics.
molluscum contagiosum,Molluscum contagiosum is treated with cryotherapy.
necrotizing fasciitis,Necrotizing fasciitis requires urgent debridement.
benign vaginal discharge (leukorrhea),Benign vaginal discharge (leukorrhea) needs hygiene only.
bladder obstruction,Bladder obstruction is relieved by catheterization.
melanoma,Melanoma is excised with wide margins.
cervical disorder,Cervical disorder is evaluated by colposcopy.
laryngitis,Laryngitis is supportive.
dyshidrosis,Dyshidrosis is treated with topical steroids.
poisoning due to opioids,Poisoning due to opioids is reversed with naloxone.
diaper rash,Diaper rash is treated with barrier cream.
lichen planus,Lichen planus is managed with topical steroids.
gastroduodenal ulcer,Gastroduodenal ulcer is treated with PPIs and eradication of H. pylori.
inguinal hernia,Inguinal hernia is repaired surgically.
eczema,Eczema is managed with moisturizers and steroids.
asperger syndrome,Asperger syndrome is supported with social skills training.
mucositis,Mucositis is managed with mouth rinses.
paronychia,Paronychia is treated with antibiotics.
open wound of the jaw,Open wound of the jaw is repaired.
white blood cell disease,White blood cell disease is managed according to type.
kaposi sarcoma,Kaposi sarcoma is treated with antiretrovirals.
spondylolisthesis,Spondylolisthesis is managed with PT or fusion.
pseudotumor cerebri,Pseudotumor cerebri is treated with acetazolamide.
conjunctivitis due to virus,Conjunctivitis due to virus is supportive.
open wound of the nose,Open wound of the nose is sutured.
